FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=G7AZZRI1, link=1, sequence=5]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=G7AZZRI1, link=1, sequence=5]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=G8AWZRI1, link=1, sequence=14]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=G8AWZRI1, link=1, sequence=14]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=G8AZZRI1, link=1, sequence=4]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=G8AZZRI1, link=1, sequence=4]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=GUAWZRI1, link=1, sequence=14]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=GUAWZRI1, link=1, sequence=14]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=GVAIXRI1, link=2, sequence=2]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=GVAIXRI1, link=2, sequence=2]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=GVAWZRI1, link=1, sequence=8]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=GVAWZRI1, link=1, sequence=8]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=GVAZZRI1, link=2, sequence=4]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=GVAZZRI1, link=2, sequence=4]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=K0AWZRD1, link=7, sequence=11]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=K0AWZRD1, link=7, sequence=11]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=KVAZURD1, link=1, sequence=6]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=KVAZURD1, link=1, sequence=6]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=LVAZZRR1, link=1, sequence=4]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=LVAZZRR1, link=1, sequence=4]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=M3AZZRD1, link=1, sequence=6]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=M3AZZRD1, link=1, sequence=6]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=NVAIXRI3, link=2, sequence=2]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=NVAIXRI3, link=2, sequence=2]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=NVAWZRI3, link=4, sequence=8]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=NVAWZRI3, link=4, sequence=8]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=OVAIXRI3, link=2, sequence=2]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=OVAIXRI3, link=2, sequence=2]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=OVAWURI3, link=1, sequence=8]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=OVAWURI3, link=1, sequence=8]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=QVAIXRI3, link=2, sequence=2]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=QVAIXRI3, link=2, sequence=2]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=QVFZZRI3, link=1, sequence=4]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=QVFZZRI3, link=1, sequence=4]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=S7AWZRI1, link=1, sequence=9]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=S7AWZRI1, link=1, sequence=9]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=S8AWZRI1, link=1, sequence=8]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=S8AWZRI1, link=1, sequence=8]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=SUAWZRI1, link=1, sequence=8]
FareRecord[tariff=0, carrier=AA , origin=ABE  , destination=ABQ  , fareClass=SUAWZRI1, link=1, sequence=8]
