FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=QAA5HFEM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=QAA5HFEN, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=QAA5HFFN, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=QAA5HFOM, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=QAA5HFON, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=QAX0HFEM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=QAX0HFEN, link=6, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=QAX0HFFN, link=5, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=QAX0HFOM, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=QAX0HFON, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=SRX5LFFM, link=2, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=VRA0LFFM, link=1, sequence=19]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=WRA4LFFM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=WRA5LFFM, link=1, sequence=17]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=WRX0LFFM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=HNL  , fareClass=WRX4LFFM, link=4, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=KOA  , fareClass=QAA5HFEM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=KOA  , fareClass=QAA5HFEN, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=KOA  , fareClass=QAA5HFFN, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=KOA  , fareClass=QAA5HFOM, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=KOA  , fareClass=QAA5HFON, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=KOA  , fareClass=VRA0LFFM, link=1, sequence=17]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=KOA  , fareClass=WAX4LFFM, link=1, sequence=15]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=KOA  , fareClass=WRA4LFFM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=KOA  , fareClass=WRA5LFFM, link=1, sequence=15]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=LIH  , fareClass=QAA5HFEM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=LIH  , fareClass=QAA5HFEN, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=LIH  , fareClass=QAA5HFFN, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=LIH  , fareClass=QAA5HFOM, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=LIH  , fareClass=QAA5HFON, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=LIH  , fareClass=VAA5LFFM, link=2, sequence=10]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=LIH  , fareClass=VRA0LFFM, link=1, sequence=19]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=LIH  , fareClass=WAW5LFFM, link=1, sequence=10]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=LIH  , fareClass=WAX5LFFM, link=1, sequence=10]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=LIH  , fareClass=WRA4LFFM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=LIH  , fareClass=WRA5LFFM, link=1, sequence=17]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=OGG  , fareClass=QAA5HFEM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=OGG  , fareClass=QAA5HFEN, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=OGG  , fareClass=QAA5HFFN, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=OGG  , fareClass=QAA5HFOM, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=OGG  , fareClass=QAA5HFON, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=OGG  , fareClass=SRX5LFFM, link=2, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=OGG  , fareClass=VAA5LFFM, link=1, sequence=13]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=OGG  , fareClass=VRA0LFFM, link=1, sequence=18]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=OGG  , fareClass=WRA4LFFM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=OGG  , fareClass=WRA5LFFM, link=1, sequence=16]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=OGG  , fareClass=WRX0LFFM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABE  , destination=OGG  , fareClass=WRX4LFFM, link=2, sequence=13]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=KAW5LFFM, link=1, sequence=17]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=KAX2LFFM, link=2, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAW2LFFM, link=3, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAW4HFEM, link=3, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=HNL  , fareClass=LAW4HFEN, link=3, sequence=7]
